Players,Opening,Result,Moves,Year
Paul Morphy (2690) Daniel Harrwitz (2520),"1. e4 e5 2. Nf3 d6 3. d4 Bg4 Philidor Defense: 3.d4 Bg4 4.dxe5
                          ",1-0,59,1858
Paul Morphy (2690) Baucher Jacques (2086),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Ruy López Opening: Old Steinitz Defense, 4.d4 exd4 5.Qxd4
                          ",1-0,27,1858
Paul Morphy (2690) Bierwisch B Sr,"1. e4 e6 2. d4 c6 3. Bd3 d5 French Defense: Normal Variation
                          ",1-0,34,1858
Paul Morphy (2690) Borneman,"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,32,1858
Paul Morphy (2690) Potier,"1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 Vienna Game: Frankenstein-Dracula, Boden-Kieseritzky Gambit
                          ",1-0,25,1858
Paul Morphy (2690) Prettie,"1. e4 c5 2. d4 cxd4 3. Nf3 e5 Sicilian Defense: Smith-Morra, Morphy Gambit, 3...e5
                          ",1-0,24,1858
Paul Morphy (2690) Seguin,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Nxd4 Nf6 5.Nc3 Be7
                          ",1-0,47,1858
Paul Morphy (2690) Bottin,"1. e4 e5 2. c3 Nf6 3. d4 Nxe4 King's Pawn Opening: MacLeod Attack
                          ",1-0,10,1858
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack
                          ",1-0,22,1858
Paul Morphy (2690) Duke of Brunswick and Count Isouard,"1. e4 e5 2. Nf3 d6 3. d4 Bg4 Philidor Defense: 3.d4 Bg4 4.dxe5
                          ",1-0,17,1858
Paul Morphy (2690) Daniel Harrwitz (2520),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Qxd4 Nf6
                          ",1-0,48,1858
Paul Morphy (2690) Journoud P,"1. e4 c5 2. d4 cxd4 3. Nf3 e5 Sicilian Defense: Smith-Morra, Morphy Gambit, 3...e5
                          ",1-0,17,1858
Paul Morphy (2690) Chamouillet,"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Bd3 Bd6 5.Nf3 Nf6
                          ",1-0,26,1858
Paul Morphy (2690) Hammond,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Caro, Graz Variation
                          ",1-0,22,1859
Paul Morphy (2690) Sicre J M,"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Bd3 Bd6 5.Nf3 Nf6
                          ",1-0,29,1859
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,30,1859
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo Gambit, 5.O-O d6 6.c3
                          ",1-0,35,1859
Paul Morphy (2690) Henry E Bird (2440),"1. e4 e5 2. f4 exf4 3. Nf3 Be7 King's Gambit Accepted: Cunningham, Bertin Gambit, 5...fxg3 6.O-O gxh2+ 7.Kh1
                          ",1-0,46,1859
Paul Morphy (2690) Catley,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Closed, Morphy Attack
                          ",1-0,31,1859
Paul Morphy (2690) Cremorne Lord,"1. e4 e5 2. f4 Bc5 3. Nf3 Nc6 King's Gambit Declined: Classical Variation, 3.Nf3
                          ",1-0,29,1859
Paul Morphy (2690) Cunninghamm,"1. e4 e5 2. Bc4 Bc5 3. c3 Nc6 Giuoco Piano Game: Center Attack
                          ",1-0,23,1859
Paul Morphy (2690) Jhones,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit
                          ",1-0,22,1859
Paul Morphy (2690) Kennedy Hugh A,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",1-0,21,1859
Paul Morphy (2690) Maude P,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation
                          ",1-0,34,1859
Paul Morphy (2690) Worrall T,"1. e4 e5 2. Nf3 Nc6 3. Bc4 f5 Italian Game: Rousseau Gambit
                          ",1-0,20,1859
Paul Morphy (2690) Henry E Bird (2440),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,27,1859
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line
                          ",1-0,31,1859
Paul Morphy (2690) Knott,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3
                          ",1-0,27,1859
Paul Morphy (2690) Stoune,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense
                          ",1-0,30,1859
